"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.774822792E0,-1.015549850E1,1.966247559E0,-2.291952515E1,2.514567383E1
2.784770792E0,-1.013488007E1,1.936614990E0,-2.282934570E1,2.505285007E1
2.794719792E0,-1.031338120E1,2.009033203E0,-2.286618042E1,2.516474226E1
2.804667792E0,-1.032266998E1,2.123718262E0,-2.296478271E1,2.526754717E1
2.814616792E0,-1.028672791E1,2.189010620E0,-2.295071411E1,2.524566927E1
2.824564792E0,-1.010072708E1,2.241577148E0,-2.282235718E1,2.505811930E1
2.834513792E0,-1.020137787E1,2.176239014E0,-2.291232300E1,2.517496121E1
2.844461792E0,-1.025163651E1,2.187240601E0,-2.280010986E1,2.509432371E1
2.854409792E0,-1.031085205E1,2.247406006E0,-2.290097046E1,2.521545065E1
2.864358792E0,-1.028789139E1,2.264602661E0,-2.286941528E1,2.517894537E1
2.874306792E0,-1.014031219E1,2.161682129E0,-2.296334839E1,2.519551885E1
2.884255792E0,-1.031099701E1,2.118942261E0,-2.293038940E1,2.523111836E1
2.894203792E0,-1.012418365E1,2.095062256E0,-2.280352783E1,2.503775673E1
2.904152792E0,-1.040428162E1,1.940017700E0,-2.298291016E1,2.530270547E1
2.914100792E0,-1.033171844E1,2.001083374E0,-2.304299927E1,2.533236183E1
2.924049792E0,-1.032602310E1,1.883163452E0,-2.314028931E1,2.540956605E1
2.933997792E0,-1.045102692E1,1.888626099E0,-2.326147461E1,2.557121572E1
2.943946792E0,-1.039958191E1,2.010070801E0,-2.339544678E1,2.568148396E1
2.953894792E0,-1.053017807E1,1.965972900E0,-2.318185425E1,2.553718986E1
2.963842792E0,-1.053321457E1,1.990997314E0,-2.308325195E1,2.545091747E1
2.973791792E0,-1.057834244E1,1.973953247E0,-2.299627686E1,2.538949723E1
2.983739792E0,-1.068435287E1,2.050994873E0,-2.296316528E1,2.541001645E1
2.993688792E0,-1.069605637E1,2.060958862E0,-2.278530884E1,2.525516723E1
3.003636792E0,-1.078825378E1,2.091247559E0,-2.301382446E1,2.550285969E1
3.013585792E0,-1.065351486E1,2.000640869E0,-2.286538696E1,2.530466091E1
3.023533792E0,-1.070952606E1,2.008499146E0,-2.274984741E1,2.522466203E1
3.033482792E0,-1.065371704E1,2.133743286E0,-2.289657593E1,2.534379088E1
3.043430792E0,-1.082152557E1,2.078460693E0,-2.273880005E1,2.526813096E1
3.053379792E0,-1.076952362E1,2.129867554E0,-2.277624512E1,2.528391418E1
3.063327792E0,-1.084439850E1,2.059097290E0,-2.264404297E1,2.519114016E1
3.073276792E0,-1.094248199E1,2.149703979E0,-2.245431519E1,2.507100736E1
3.083224792E0,-1.094369507E1,2.209548950E0,-2.242590332E1,2.505130152E1
3.093172792E0,-1.112862015E1,2.130676270E0,-2.243887329E1,2.513740246E1
3.103121792E0,-1.118959045E1,2.157928467E0,-2.252130127E1,2.524029716E1
3.113069792E0,-1.123106766E1,2.200057983E0,-2.262380981E1,2.535377499E1
3.123018792E0,-1.115517426E1,2.145217896E0,-2.255075073E1,2.525027190E1
3.132966792E0,-1.142320633E1,2.283843994E0,-2.259945679E1,2.542520469E1
3.142915792E0,-1.125095749E1,2.171554565E0,-2.235372925E1,2.511949253E1
3.152863792E0,-1.117787552E1,2.104614258E0,-2.237747192E1,2.510230173E1
3.162812792E0,-1.123038864E1,1.987884521E0,-2.236904907E1,2.510871702E1
3.172760792E0,-1.125485229E1,2.001052856E0,-2.208551025E1,2.486856803E1
3.182709792E0,-1.141389465E1,2.026077271E0,-2.220855713E1,2.505198575E1
3.192657792E0,-1.140306473E1,2.004272461E0,-2.212567139E1,2.497183068E1
3.202605792E0,-1.143610382E1,2.098327637E0,-2.224316406E1,2.509872102E1
3.212554792E0,-1.157170486E1,1.986099243E0,-2.220736694E1,2.512003364E1
3.222502792E0,-1.171830368E1,2.131713867E0,-2.213583374E1,2.513678541E1
3.232451792E0,-1.184059525E1,2.042907715E0,-2.187072754E1,2.495399549E1
