"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.667548208E0,1.195499420E1,-1.992956543E1,-3.769357300E1,4.428221889E1
1.677495208E0,1.198859024E1,-1.986521912E1,-3.772122192E1,4.428593242E1
1.687441208E0,1.212938309E1,-1.996987915E1,-3.768261719E1,4.433844433E1
1.697388208E0,1.206579590E1,-2.003245544E1,-3.736340332E1,4.407841433E1
1.707335208E0,1.210496521E1,-1.992260742E1,-3.736563110E1,4.404124041E1
1.717282208E0,1.199383163E1,-1.991264343E1,-3.753433228E1,4.414964853E1
1.727229208E0,1.196759415E1,-1.983139038E1,-3.750155640E1,4.407804540E1
1.737176208E0,1.197774506E1,-1.980702209E1,-3.746954346E1,4.404260651E1
1.747123208E0,1.188243484E1,-1.988352966E1,-3.742770386E1,4.401567932E1
1.757070208E0,1.209078979E1,-1.986940002E1,-3.742391968E1,4.406279632E1
1.767017208E0,1.204780579E1,-1.984881592E1,-3.736032104E1,4.398771085E1
1.776964208E0,1.200631714E1,-1.993832397E1,-3.749816895E1,4.413389954E1
1.786911208E0,1.204178619E1,-1.981188965E1,-3.740625000E1,4.400844379E1
1.796858208E0,1.181290817E1,-1.986518860E1,-3.736022949E1,4.393127889E1
1.806804208E0,1.187109756E1,-1.979521179E1,-3.755117798E1,4.407793478E1
1.816751208E0,1.181254578E1,-1.983558655E1,-3.755355835E1,4.408238283E1
1.826698208E0,1.177446365E1,-1.973864746E1,-3.755798340E1,4.403242345E1
1.836645208E0,1.184679413E1,-1.968101501E1,-3.750445557E1,4.398037142E1
1.846592208E0,1.190681839E1,-1.996420288E1,-3.763189697E1,4.423235683E1
1.856539208E0,1.193088913E1,-1.977725220E1,-3.752890015E1,4.406704172E1
1.866486208E0,1.194374084E1,-1.994354248E1,-3.722811890E1,4.388998369E1
1.876433208E0,1.199979782E1,-1.990904236E1,-3.755426025E1,4.416658894E1
1.886380208E0,1.193139267E1,-1.984829712E1,-3.748980713E1,4.406584469E1
1.896327208E0,1.188404465E1,-2.002673340E1,-3.741647339E1,4.407145390E1
1.906274208E0,1.205102158E1,-2.002453613E1,-3.732830811E1,4.404102354E1
1.916221208E0,1.203660583E1,-1.992944336E1,-3.746392822E1,4.410905248E1
1.926168208E0,1.209564209E1,-1.993458557E1,-3.743328857E1,4.410151191E1
1.936114208E0,1.210391998E1,-2.003175354E1,-3.747650146E1,4.418443381E1
1.946061208E0,1.191205597E1,-2.006317139E1,-3.773434448E1,4.436562495E1
1.956008208E0,1.186145782E1,-1.999389648E1,-3.745138550E1,4.408011291E1
1.965955208E0,1.184119415E1,-1.991333008E1,-3.742642212E1,4.401694749E1
1.975902208E0,1.184240341E1,-2.003009033E1,-3.735906982E1,4.401303370E1
1.985849208E0,1.189561462E1,-2.002665710E1,-3.739425659E1,4.405568145E1
1.995796208E0,1.192694473E1,-1.997061157E1,-3.732110596E1,4.397661068E1
2.005743208E0,1.200494003E1,-1.994825745E1,-3.731271362E1,4.398056569E1
2.015690208E0,1.192209244E1,-2.000865173E1,-3.747875977E1,4.412640781E1
2.025637208E0,1.186692429E1,-1.997821045E1,-3.732192993E1,4.396452250E1
2.035584208E0,1.184761810E1,-1.987040710E1,-3.755419922E1,4.410801528E1
2.045531208E0,1.195655823E1,-1.993432617E1,-3.710009766E1,4.378074795E1
2.055477208E0,1.197065353E1,-1.981272888E1,-3.764004517E1,4.418838956E1
2.065424208E0,1.197098541E1,-1.978547668E1,-3.761282349E1,4.415307543E1
2.075371208E0,1.184914780E1,-1.987010193E1,-3.778952026E1,4.430881510E1
2.085318208E0,1.201161575E1,-1.992826843E1,-3.775213623E1,4.434679905E1
2.095265208E0,1.197826767E1,-1.992140198E1,-3.740954590E1,4.404333409E1
2.105212208E0,1.202047348E1,-1.987271118E1,-3.742114258E1,4.404268775E1
2.115159208E0,1.203142929E1,-2.007164001E1,-3.750024414E1,4.420287699E1
2.125106208E0,1.196292496E1,-2.003387451E1,-3.740740967E1,4.408834313E1
2.135053208E0,1.183365631E1,-2.003181458E1,-3.730148315E1,4.396259390E1
2.145000208E0,1.179758835E1,-1.999554443E1,-3.736996460E1,4.399453537E1
2.154947208E0,1.201414490E1,-1.992755127E1,-3.718637085E1,4.386653798E1
2.164894208E0,1.208459854E1,-1.987477112E1,-3.727603149E1,4.393798553E1
2.174841208E0,1.199469376E1,-1.992068481E1,-3.747302246E1,4.410140331E1
2.184787208E0,1.202762604E1,-1.994177246E1,-3.752117920E1,4.416080803E1
2.194734208E0,1.204255676E1,-1.980888367E1,-3.746005249E1,4.405304278E1
2.204681208E0,1.196586227E1,-1.983152771E1,-3.760058594E1,4.416192267E1
2.214628208E0,1.190940857E1,-1.982803345E1,-3.744464111E1,4.401233999E1
2.224575208E0,1.198239517E1,-1.982737732E1,-3.750585938E1,4.408392193E1
2.234522208E0,1.193403625E1,-1.990196228E1,-3.755844116E1,4.414913166E1
2.244469208E0,1.182250977E1,-1.986759949E1,-3.754324341E1,4.409068351E1
2.254416208E0,1.183945465E1,-1.977731323E1,-3.745697021E1,4.398112576E1
2.264363208E0,1.181119156E1,-1.981106567E1,-3.749957275E1,4.402499887E1
2.274310208E0,1.187915421E1,-1.987843323E1,-3.744869995E1,4.403034795E1
2.284257208E0,1.196511841E1,-1.976657104E1,-3.734323120E1,4.391353215E1
2.294204208E0,1.202220154E1,-1.983689880E1,-3.751370239E1,4.410571109E1
2.304150208E0,1.202218246E1,-1.975479126E1,-3.750146484E1,4.405842161E1
2.314098208E0,1.193087387E1,-1.982188416E1,-3.750915527E1,4.407027992E1
2.324045208E0,1.197076797E1,-1.983843994E1,-3.765408325E1,4.421190983E1
2.333992208E0,1.197076797E1,-1.983843994E1,-3.765408325E1,4.421190983E1
2.343939208E0,1.212227249E1,-1.985614014E1,-3.757894897E1,4.419720803E1
2.353886208E0,1.209039688E1,-1.979943848E1,-3.743585205E1,4.404132695E1
2.363833208E0,1.196757126E1,-1.987779236E1,-3.744467163E1,4.405057122E1
2.373780208E0,1.182849503E1,-1.987763977E1,-3.750402832E1,4.406343152E1
2.383727208E0,1.180950165E1,-1.989205933E1,-3.747158813E1,4.403723732E1
2.393674208E0,1.194890594E1,-1.985862732E1,-3.751119995E1,4.409344117E1
2.403621208E0,1.183205795E1,-1.992567444E1,-3.756372070E1,4.413686906E1
2.413568208E0,1.186983109E1,-1.997532654E1,-3.761074829E1,4.420944410E1
2.423515208E0,1.194546890E1,-1.984414673E1,-3.752172852E1,4.409494866E1
2.433461208E0,1.181357193E1,-1.983987427E1,-3.752304077E1,4.405859373E1
2.443408208E0,1.182755661E1,-1.985826111E1,-3.755807495E1,4.410046058E1
2.453355208E0,1.193132019E1,-1.986929321E1,-3.749789429E1,4.408216522E1
2.463302208E0,1.183542633E1,-1.999429321E1,-3.746893311E1,4.408820733E1
2.473249208E0,1.185900116E1,-1.994165039E1,-3.740173340E1,4.401357734E1
2.483196208E0,1.178308868E1,-2.000210571E1,-3.749090576E1,4.409641059E1
2.493143208E0,1.180562592E1,-1.989891052E1,-3.754293823E1,4.410001876E1
2.503090208E0,1.192431259E1,-1.992266846E1,-3.725433350E1,4.389746363E1
2.513037208E0,1.181413269E1,-1.991302490E1,-3.736996460E1,4.396153485E1
2.522984208E0,1.179126740E1,-1.986755371E1,-3.737689209E1,4.394070709E1
2.532931208E0,1.190301132E1,-1.976704407E1,-3.733551025E1,4.389029546E1
2.542878208E0,1.184762955E1,-1.972171021E1,-3.742730713E1,4.393307977E1
2.552824208E0,1.187791061E1,-1.979457092E1,-3.732400513E1,4.388611577E1
2.562771208E0,1.184660721E1,-1.982501221E1,-3.732012939E1,4.388809940E1
2.572718208E0,1.188690948E1,-1.982937622E1,-3.741281128E1,4.397978202E1
2.582665208E0,1.193250275E1,-1.987522888E1,-3.742877197E1,4.402638205E1
2.592612208E0,1.199724197E1,-1.988221741E1,-3.739270020E1,4.401647887E1
2.602559208E0,1.192042542E1,-1.979977417E1,-3.732232666E1,4.389856110E1
2.612506208E0,1.195742416E1,-1.990119934E1,-3.719216919E1,4.384398678E1
2.622453208E0,1.196035385E1,-1.994309998E1,-3.723171997E1,4.389736066E1
2.632400208E0,1.192955399E1,-1.985075378E1,-3.738696289E1,4.397899133E1
2.642347208E0,1.187266922E1,-1.984228516E1,-3.726733398E1,4.385807493E1
2.652294208E0,1.192293549E1,-1.989933777E1,-3.730786133E1,4.393195365E1
2.662241208E0,1.189757538E1,-1.984765625E1,-3.707080078E1,4.370041223E1
2.672187208E0,1.203028870E1,-1.974504089E1,-3.712612915E1,4.373721472E1
2.682134208E0,1.185192490E1,-1.974908447E1,-3.707015991E1,4.364276821E1
2.692081208E0,1.188700485E1,-1.972013855E1,-3.731655884E1,4.384872076E1
2.702028208E0,1.186856079E1,-1.978199768E1,-3.725955200E1,4.382310330E1
2.711975208E0,1.186772156E1,-1.979420471E1,-3.727896118E1,4.384488912E1
2.721922208E0,1.184065247E1,-1.984350586E1,-3.722039795E1,4.381008787E1
2.731869208E0,1.183039474E1,-1.986712646E1,-3.730203247E1,4.388738521E1
2.741816208E0,1.186630249E1,-1.997300720E1,-3.765911865E1,4.424860867E1
2.751763208E0,1.172193146E1,-1.991418457E1,-3.750152588E1,4.404932312E1
2.761710208E0,1.178370285E1,-1.983876038E1,-3.726745605E1,4.383258316E1
2.771657208E0,1.184993744E1,-1.973913574E1,-3.720721436E1,4.375421462E1
2.781604208E0,1.175040436E1,-1.979490662E1,-3.731164551E1,4.384140989E1
2.791551208E0,1.174920273E1,-1.979933167E1,-3.723602295E1,4.377874717E1
2.801497208E0,1.185301971E1,-1.970080566E1,-3.703945923E1,4.359515294E1
2.811444208E0,1.196713257E1,-1.966162109E1,-3.711044312E1,4.366894313E1
2.821391208E0,1.201094055E1,-1.969337463E1,-3.736575317E1,4.391231271E1
2.831338208E0,1.199542236E1,-1.983288574E1,-3.732644653E1,4.393742283E1
2.841285208E0,1.203010559E1,-1.983459473E1,-3.739111328E1,4.400261289E1
2.851232208E0,1.198685837E1,-1.990287781E1,-3.725897217E1,4.390945599E1
2.861179208E0,1.200410080E1,-1.982359314E1,-3.730346680E1,4.391607810E1
2.871126208E0,1.205459213E1,-1.986195374E1,-3.716015625E1,4.382565014E1
2.881073208E0,1.197308731E1,-1.987382507E1,-3.739892578E1,4.401140071E1
2.891020208E0,1.198714828E1,-1.991247559E1,-3.741897583E1,4.404972372E1
2.900967208E0,1.192658997E1,-1.987399292E1,-3.766381836E1,4.422422816E1
2.910914208E0,1.199825668E1,-1.978488159E1,-3.742630005E1,4.400145041E1
2.920861208E0,1.209457397E1,-1.995185852E1,-3.741043091E1,4.408963278E1
2.930807208E0,1.210788345E1,-2.014982605E1,-3.733526611E1,4.411959233E1
2.940754208E0,1.204349136E1,-1.990716553E1,-3.745260620E1,4.409125350E1
2.950701208E0,1.193930817E1,-1.972668457E1,-3.730105591E1,4.385268447E1
2.960648208E0,1.198410416E1,-1.986766052E1,-3.726965332E1,4.390181939E1
2.970595208E0,1.187545776E1,-1.987010193E1,-3.725305176E1,4.385928993E1
2.980542208E0,1.192647171E1,-1.986421204E1,-3.709469604E1,4.373607346E1
2.990489208E0,1.189609146E1,-1.985118103E1,-3.712362671E1,4.374642889E1
3.000436208E0,1.199710846E1,-1.993014526E1,-3.730813599E1,4.396633158E1
3.010383208E0,1.198297882E1,-1.994029236E1,-3.749090576E1,4.412227392E1
3.020330208E0,1.195519638E1,-1.996441650E1,-3.738073730E1,4.403208113E1
3.030277208E0,1.202594757E1,-1.979496765E1,-3.744418335E1,4.402875227E1
3.040224208E0,1.174631119E1,-1.986137390E1,-3.717352295E1,4.375295199E1
3.050170208E0,1.182034302E1,-1.972805786E1,-3.710720825E1,4.365617574E1
3.060117208E0,1.174667358E1,-1.976820374E1,-3.722677612E1,4.375613191E1
3.070064208E0,1.205316544E1,-1.979344177E1,-3.693215942E1,4.360095795E1
3.080011208E0,1.191877747E1,-1.986579895E1,-3.717630005E1,4.380393258E1
3.089958208E0,1.197160339E1,-1.974574280E1,-3.717413330E1,4.376219639E1
3.099905208E0,1.196078873E1,-1.974739075E1,-3.692660522E1,4.354990335E1
3.109852208E0,1.182012558E1,-1.975619507E1,-3.711618042E1,4.367646347E1
3.119799208E0,1.189409637E1,-1.970452881E1,-3.693487549E1,4.351922577E1
3.129746208E0,1.186748123E1,-1.978030396E1,-3.689471436E1,4.351226819E1
3.139693208E0,1.202890778E1,-1.986296082E1,-3.698596191E1,4.367142330E1
3.149640208E0,1.193503952E1,-1.974346924E1,-3.683978271E1,4.346745146E1
3.159587208E0,1.197634125E1,-1.973875427E1,-3.677990723E1,4.342594553E1
3.169534208E0,1.205114746E1,-1.981643677E1,-3.665380859E1,4.337537326E1
3.179480208E0,1.210123444E1,-1.968641663E1,-3.689224243E1,4.353197016E1
3.189427208E0,1.203783035E1,-1.969538879E1,-3.696154785E1,4.357721559E1
3.199374208E0,1.202665329E1,-1.977555847E1,-3.708239746E1,4.371289631E1
3.209321208E0,1.200423813E1,-1.985060120E1,-3.696279907E1,4.363939294E1
3.219268208E0,1.208590698E1,-1.978291321E1,-3.687680054E1,4.355836568E1
3.229215208E0,1.208952332E1,-1.982038879E1,-3.673461914E1,4.345614605E1
