"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.602589667E0,-3.526409531E1,-2.646473694E1,-2.633694458E1,5.135731076E1
1.612536667E0,-3.526409531E1,-2.646473694E1,-2.633694458E1,5.135731076E1
1.622483667E0,-3.514517593E1,-2.663827515E1,-2.639083862E1,5.139316547E1
1.632430667E0,-3.526429367E1,-2.666282654E1,-2.661196899E1,5.160110097E1
1.642378667E0,-3.505540848E1,-2.660453796E1,-2.672311401E1,5.148599738E1
1.652325667E0,-3.522286606E1,-2.677906799E1,-2.698239136E1,5.182488031E1
1.662272667E0,-3.531127548E1,-2.658171082E1,-2.689483643E1,5.173785609E1
1.672219667E0,-3.529912949E1,-2.652868652E1,-2.659344482E1,5.154620315E1
1.682166667E0,-3.509374619E1,-2.639483643E1,-2.641403198E1,5.124411670E1
1.692113667E0,-3.506143570E1,-2.646817017E1,-2.648001099E1,5.129385233E1
1.702060667E0,-3.503178024E1,-2.639302063E1,-2.641583252E1,5.120169306E1
1.712007667E0,-3.482814407E1,-2.599066162E1,-2.634045410E1,5.081666689E1
1.721954667E0,-3.473062515E1,-2.566096497E1,-2.635473633E1,5.058926342E1
1.731901667E0,-3.464645767E1,-2.550767517E1,-2.614141846E1,5.034274805E1
1.741848667E0,-3.465364456E1,-2.537785339E1,-2.613064575E1,5.027644748E1
1.751795667E0,-3.472792435E1,-2.538537598E1,-2.614355469E1,5.033817135E1
1.761742667E0,-3.464515305E1,-2.542459106E1,-2.622982788E1,5.034580748E1
1.771689667E0,-3.462194443E1,-2.533433533E1,-2.636608887E1,5.035551831E1
1.781637667E0,-3.463740921E1,-2.543296814E1,-2.628833008E1,5.037521497E1
1.791584667E0,-3.464723587E1,-2.542861938E1,-2.618530273E1,5.032609379E1
1.801531667E0,-3.469377518E1,-2.543333435E1,-2.610433960E1,5.031847651E1
1.811478667E0,-3.465541458E1,-2.548718262E1,-2.636730957E1,5.045621123E1
1.821425667E0,-3.440787888E1,-2.555297852E1,-2.640823364E1,5.034135123E1
1.831372667E0,-3.455254745E1,-2.556492615E1,-2.670739746E1,5.060364674E1
1.841319667E0,-3.458716202E1,-2.552976990E1,-2.680471802E1,5.066096955E1
1.851266667E0,-3.456033707E1,-2.542639160E1,-2.685156250E1,5.061545907E1
1.861213667E0,-3.454751968E1,-2.549304199E1,-2.654006958E1,5.047575259E1
1.871160667E0,-3.438203049E1,-2.549209595E1,-2.637771606E1,5.027678272E1
1.881107667E0,-3.463226700E1,-2.573956299E1,-2.623248291E1,5.049814036E1
