"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.861428042E0,-1.836499405E1,-1.031173706E0,-3.818209839E1,4.238170552E1
1.871374042E0,-1.831273270E1,-1.068679810E0,-3.816088867E1,4.234089843E1
1.881321042E0,-1.834952164E1,-1.014465332E0,-3.805789185E1,4.226271662E1
1.891267042E0,-1.828789902E1,-9.896697998E-1,-3.797836304E1,4.216376117E1
1.901214042E0,-1.837418747E1,-9.873504639E-1,-3.808990479E1,4.230161312E1
1.911160042E0,-1.827846146E1,-1.112731934E0,-3.794085693E1,4.212895620E1
1.921107042E0,-1.818899918E1,-1.115646362E0,-3.815206909E1,4.228078445E1
1.931053042E0,-1.818794632E1,-1.124069214E0,-3.809082031E1,4.222529473E1
1.941000042E0,-1.803371811E1,-1.095901489E0,-3.800155640E1,4.207771711E1
1.950946042E0,-1.825622940E1,-1.067871094E0,-3.811108398E1,4.227156234E1
1.960892042E0,-1.822975540E1,-1.040435791E0,-3.807611084E1,4.222791382E1
1.970839042E0,-1.816770554E1,-9.844360352E-1,-3.795883179E1,4.209403223E1
1.980785042E0,-1.820215988E1,-9.623260498E-1,-3.807946777E1,4.221718325E1
1.990732042E0,-1.815309525E1,-1.006561279E0,-3.818383789E1,4.229129353E1
2.000678042E0,-1.806962967E1,-9.685668945E-1,-3.814956665E1,4.222367907E1
2.010625042E0,-1.810871506E1,-9.444274902E-1,-3.812265015E1,4.221556536E1
2.020571042E0,-1.806236649E1,-8.939208984E-1,-3.816571045E1,4.223351314E1
2.030518042E0,-1.814959335E1,-9.855651855E-1,-3.823483276E1,4.233534592E1
2.040463917E0,-1.813069534E1,-9.761810303E-1,-3.826480103E1,4.235410300E1
2.050409917E0,-1.825185776E1,-1.032089233E0,-3.813757324E1,4.229267091E1
2.060356917E0,-1.820956039E1,-9.197845459E-1,-3.825808716E1,4.238060083E1
2.070302917E0,-1.831640244E1,-9.662780762E-1,-3.806152344E1,4.225048944E1
2.080249917E0,-1.831921768E1,-8.876953125E-1,-3.828723145E1,4.245343132E1
2.090195917E0,-1.819149399E1,-9.370574951E-1,-3.800778198E1,4.214736079E1
2.100142917E0,-1.825786209E1,-9.088439941E-1,-3.818002319E1,4.233071812E1
2.110088917E0,-1.825096512E1,-9.204711914E-1,-3.776889038E1,4.195752704E1
2.120035917E0,-1.842061234E1,-1.025741577E0,-3.792510986E1,4.217445984E1
2.129981917E0,-1.830094528E1,-9.847106934E-1,-3.798022461E1,4.217098190E1
2.139927917E0,-1.837271500E1,-9.887237549E-1,-3.809939575E1,4.230955197E1
2.149874917E0,-1.838835526E1,-9.143676758E-1,-3.802795410E1,4.225036059E1
2.159820917E0,-1.833348465E1,-8.649139404E-1,-3.793978882E1,4.214608299E1
2.169767917E0,-1.834786606E1,-9.224243164E-1,-3.811984253E1,4.231568799E1
2.179713917E0,-1.839603806E1,-8.842010498E-1,-3.813796997E1,4.235210480E1
2.189660917E0,-1.834766769E1,-1.033508301E0,-3.825317383E1,4.243831237E1
2.199606917E0,-1.836361313E1,-9.421691895E-1,-3.799801636E1,4.221325878E1
2.209553917E0,-1.831347275E1,-8.515625000E-1,-3.792279053E1,4.212180533E1
2.219499917E0,-1.837007523E1,-9.074401855E-1,-3.791049194E1,4.213654602E1
2.229445917E0,-1.824866104E1,-9.033355713E-1,-3.779394531E1,4.197870826E1
2.239392917E0,-1.826057816E1,-9.646606445E-1,-3.778338623E1,4.197574966E1
2.249338917E0,-1.832606888E1,-1.028106689E0,-3.796191406E1,4.216644072E1
2.259285917E0,-1.855601120E1,-1.016036987E0,-3.802392578E1,4.232229690E1
