"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.915077875E0,-1.203680038E1,-4.150608826E1,-2.224780273E1,4.860663177E1
1.925023875E0,-1.205681229E1,-4.144500732E1,-2.248831177E1,4.867010911E1
1.934969875E0,-1.210441208E1,-4.136378479E1,-2.242324829E1,4.858272890E1
1.944915875E0,-1.220960617E1,-4.138716125E1,-2.218328857E1,4.851875814E1
1.954861875E0,-1.223044205E1,-4.133309937E1,-2.215371704E1,4.846437861E1
1.964808875E0,-1.218456650E1,-4.129403687E1,-2.234109497E1,4.850552201E1
1.974754875E0,-1.213968277E1,-4.139849854E1,-2.230447388E1,4.856641981E1
1.984700875E0,-1.211236191E1,-4.147245789E1,-2.221017456E1,4.857948053E1
1.994646875E0,-1.224663162E1,-4.165054321E1,-2.225646973E1,4.878624991E1
2.004592875E0,-1.250068283E1,-4.150025940E1,-2.209350586E1,4.864834635E1
2.014538875E0,-1.246853256E1,-4.150370789E1,-2.230920410E1,4.874138550E1
2.024484875E0,-1.227767563E1,-4.148533630E1,-2.226113892E1,4.865524384E1
2.034430875E0,-1.230920029E1,-4.130766296E1,-2.215585327E1,4.846360764E1
2.044376875E0,-1.240159225E1,-4.129306030E1,-2.220260620E1,4.849610337E1
2.054322875E0,-1.240766525E1,-4.140565491E1,-2.213986206E1,4.856492466E1
2.064268875E0,-1.228702927E1,-4.157585144E1,-2.222589111E1,4.871871044E1
2.074214875E0,-1.221873093E1,-4.145387268E1,-2.230160522E1,4.863211430E1
2.084160875E0,-1.219737625E1,-4.153881836E1,-2.231085205E1,4.870342429E1
2.094106875E0,-1.223069382E1,-4.152311707E1,-2.234127808E1,4.871233754E1
2.104052875E0,-1.224274826E1,-4.149325562E1,-2.263140869E1,4.882372175E1
2.113998875E0,-1.215651321E1,-4.146769714E1,-2.259313965E1,4.876269762E1
2.123944875E0,-1.212443924E1,-4.152169800E1,-2.236019897E1,4.869324316E1
2.133890875E0,-1.213631821E1,-4.144642639E1,-2.225671387E1,4.858454273E1
2.143836875E0,-1.214735794E1,-4.154563904E1,-2.228445435E1,4.868465193E1
2.153782875E0,-1.216252518E1,-4.151875305E1,-2.219989014E1,4.862683411E1
2.163728875E0,-1.218029404E1,-4.143922424E1,-2.248028564E1,4.869221818E1
2.173674583E0,-1.218368149E1,-4.148178101E1,-2.239971924E1,4.869217259E1
2.183620583E0,-1.213547897E1,-4.147177124E1,-2.264559937E1,4.878525218E1
2.193566583E0,-1.209715652E1,-4.145158386E1,-2.246118164E1,4.867319264E1
2.203512583E0,-1.217732620E1,-4.139573669E1,-2.254333496E1,4.868363422E1
2.213458583E0,-1.212062454E1,-4.151672363E1,-2.245666504E1,4.873242950E1
2.223405583E0,-1.205529404E1,-4.147491455E1,-2.246884155E1,4.868621460E1
2.233351583E0,-1.206402969E1,-4.147509766E1,-2.211019897E1,4.852407069E1
2.243297583E0,-1.206834793E1,-4.150617981E1,-2.243783569E1,4.870179108E1
2.253243583E0,-1.200931168E1,-4.141847229E1,-2.220239258E1,4.850422301E1
2.263189583E0,-1.196464920E1,-4.131663513E1,-2.215502930E1,4.838452741E1
2.273135583E0,-1.209832382E1,-4.120684814E1,-2.215084839E1,4.832218805E1
2.283081583E0,-1.218574142E1,-4.130978394E1,-2.241351318E1,4.855261184E1
2.293027583E0,-1.211866379E1,-4.115066528E1,-2.231683350E1,4.835576824E1
2.302973583E0,-1.216344833E1,-4.120510864E1,-2.228686523E1,4.839953322E1
2.312919583E0,-1.197797775E1,-4.136120605E1,-2.223236084E1,4.846131639E1
2.322865583E0,-1.206335068E1,-4.127957153E1,-2.223361206E1,4.841343781E1
2.332811583E0,-1.211380386E1,-4.124198914E1,-2.243566895E1,4.848716483E1
2.342757583E0,-1.211996841E1,-4.123245239E1,-2.248092651E1,4.850155484E1
2.352703583E0,-1.205321884E1,-4.129647827E1,-2.250518799E1,4.855061986E1
2.362649583E0,-1.233274460E1,-4.138720703E1,-2.237857056E1,4.863946870E1
2.372595583E0,-1.225761032E1,-4.131628418E1,-2.222512817E1,4.848959344E1
2.382541583E0,-1.214603043E1,-4.134570312E1,-2.206634521E1,4.841401464E1
2.392487583E0,-1.221237564E1,-4.122648621E1,-2.217968750E1,4.838082080E1
2.402433583E0,-1.211283493E1,-4.130819702E1,-2.224221802E1,4.845414506E1
2.412379583E0,-1.200985336E1,-4.129483032E1,-2.212792969E1,4.836470677E1
2.422325583E0,-1.214690018E1,-4.143051147E1,-2.198736572E1,4.845078654E1
2.432271583E0,-1.215565872E1,-4.133039856E1,-2.185363770E1,4.830676313E1
2.442217583E0,-1.203594589E1,-4.137390137E1,-2.194592285E1,4.835583975E1
2.452163583E0,-1.203728867E1,-4.141430664E1,-2.188919067E1,4.836504710E1
2.462109583E0,-1.202605820E1,-4.140473938E1,-2.197860718E1,4.839460396E1
2.472056583E0,-1.202605820E1,-4.140473938E1,-2.197860718E1,4.839460396E1
2.482002583E0,-1.201237869E1,-4.148771667E1,-2.235830688E1,4.863560181E1
2.491948583E0,-1.207398605E1,-4.142419434E1,-2.219326782E1,4.852098672E1
2.501894583E0,-1.208360672E1,-4.147302246E1,-2.216387939E1,4.855164975E1
2.511840583E0,-1.204249954E1,-4.139900208E1,-2.231072998E1,4.854552338E1
2.521786583E0,-1.209164810E1,-4.140785217E1,-2.252493286E1,4.866406041E1
2.531732583E0,-1.213457870E1,-4.142539978E1,-2.216137695E1,4.852255533E1
2.541678583E0,-1.206798172E1,-4.139941406E1,-2.193997192E1,4.838295191E1
2.551624583E0,-1.203059769E1,-4.140426636E1,-2.205352783E1,4.842939854E1
2.561570583E0,-1.204317093E1,-4.124388123E1,-2.221667480E1,4.837020099E1
2.571516583E0,-1.228097916E1,-4.125009155E1,-2.236871338E1,4.850517334E1
2.581462583E0,-1.213041306E1,-4.130802917E1,-2.220782471E1,4.844262249E1
2.591408583E0,-1.195563889E1,-4.130464172E1,-2.209124756E1,4.834287898E1
2.601354583E0,-1.199139023E1,-4.120210266E1,-2.200183105E1,4.822330633E1
2.611300583E0,-1.196258163E1,-4.113365173E1,-2.194943237E1,4.813375371E1
2.621246583E0,-1.210139847E1,-4.120808411E1,-2.182440186E1,4.817524838E1
2.631192583E0,-1.217335892E1,-4.126321411E1,-2.225018311E1,4.843463796E1
2.641138583E0,-1.204296494E1,-4.128079224E1,-2.231610107E1,4.844734440E1
2.651084583E0,-1.199359512E1,-4.131674194E1,-2.230444336E1,4.846037229E1
2.661030583E0,-1.207386398E1,-4.128320312E1,-2.218634033E1,4.839746635E1
2.670976583E0,-1.204297256E1,-4.140003967E1,-2.223760986E1,4.851296492E1
2.680922583E0,-1.223493576E1,-4.142169189E1,-2.225079346E1,4.858547131E1
2.690868583E0,-1.211046219E1,-4.124244690E1,-2.188174438E1,4.823290845E1
2.700814583E0,-1.203080368E1,-4.138146973E1,-2.195458984E1,4.836496965E1
2.710760583E0,-1.197408676E1,-4.143888855E1,-2.210369873E1,4.846786292E1
2.720707583E0,-1.192152786E1,-4.127049255E1,-2.212359619E1,4.832007751E1
2.730653583E0,-1.193747330E1,-4.132067871E1,-2.230566406E1,4.845043248E1
2.740599583E0,-1.206932449E1,-4.125549316E1,-2.195800781E1,4.826839978E1
2.750545583E0,-1.198033524E1,-4.122930908E1,-2.192636108E1,4.820943549E1
2.760491583E0,-1.209814835E1,-4.128384399E1,-2.193411255E1,4.828898696E1
2.770437583E0,-1.202641678E1,-4.135400391E1,-2.177069092E1,4.825713753E1
2.780383583E0,-1.199263382E1,-4.112397766E1,-2.194824219E1,4.813242296E1
2.790329583E0,-1.196893692E1,-4.125581360E1,-2.171423340E1,4.813320620E1
2.800275583E0,-1.191505051E1,-4.128007507E1,-2.186077881E1,4.820691524E1
2.810221583E0,-1.203979874E1,-4.127108765E1,-2.182046509E1,4.821195003E1
2.820167583E0,-1.199951553E1,-4.129026794E1,-2.198818970E1,4.829446227E1
2.830113583E0,-1.197076797E1,-4.132177734E1,-2.200802612E1,4.832330476E1
2.840059583E0,-1.201616287E1,-4.139756775E1,-2.190658569E1,4.835333786E1
2.850005583E0,-1.215580368E1,-4.128326416E1,-2.206436157E1,4.836225299E1
2.859951583E0,-1.195325851E1,-4.139549255E1,-2.187844849E1,4.832322114E1
2.869897583E0,-1.198337936E1,-4.134814453E1,-2.196401978E1,4.832896235E1
2.879843583E0,-1.206220627E1,-4.134371948E1,-2.200979614E1,4.836559818E1
2.889789583E0,-1.201049423E1,-4.136201477E1,-2.204022217E1,4.838222433E1
2.899735583E0,-1.199257278E1,-4.131910706E1,-2.214804077E1,4.839035152E1
2.909681583E0,-1.202441025E1,-4.129692078E1,-2.195532227E1,4.829138933E1
2.919627583E0,-1.193904495E1,-4.123248291E1,-2.194689941E1,4.821125216E1
2.929573583E0,-1.201139450E1,-4.122015381E1,-2.194821167E1,4.821927699E1
2.939519583E0,-1.196014023E1,-4.124894714E1,-2.196258545E1,4.823770055E1
2.949465583E0,-1.202176285E1,-4.128939819E1,-2.212692261E1,4.836256702E1
2.959411583E0,-1.220270157E1,-4.125177002E1,-2.207421875E1,4.835168651E1
2.969357583E0,-1.208730698E1,-4.129623413E1,-2.215066528E1,4.839559810E1
2.979304583E0,-1.209965134E1,-4.120719910E1,-2.221252441E1,4.835112264E1
2.989250583E0,-1.206249619E1,-4.126971436E1,-2.206781006E1,4.832888761E1
2.999196583E0,-1.212475967E1,-4.124308777E1,-2.195388794E1,4.826981750E1
3.009142583E0,-1.201667404E1,-4.127893066E1,-2.205883789E1,4.832124689E1
3.019088583E0,-1.204150009E1,-4.133000183E1,-2.201370239E1,4.835048985E1
3.029034583E0,-1.216742325E1,-4.121028137E1,-2.196487427E1,4.825752978E1
3.038980583E0,-1.208456802E1,-4.114752197E1,-2.207260132E1,4.823230326E1
3.048926583E0,-1.202332687E1,-4.121920776E1,-2.199154663E1,4.824118159E1
3.058872583E0,-1.210042953E1,-4.122566223E1,-2.225949097E1,4.838864081E1
3.068818583E0,-1.205240250E1,-4.121318054E1,-2.205703735E1,4.827317633E1
3.078764583E0,-1.199905014E1,-4.126547241E1,-2.211483765E1,4.833096794E1
3.088710583E0,-1.217575455E1,-4.122744751E1,-2.204946899E1,4.831284001E1
3.098656583E0,-1.211742783E1,-4.121591187E1,-2.201898193E1,4.827441365E1
3.108602583E0,-1.214693069E1,-4.126428223E1,-2.207522583E1,4.834877980E1
3.118548583E0,-1.213002396E1,-4.119491577E1,-2.215390015E1,4.832136027E1
3.128494583E0,-1.219069290E1,-4.128123474E1,-2.211135864E1,4.839075858E1
3.138440583E0,-1.208818436E1,-4.126893616E1,-2.193466187E1,4.827399594E1
3.148386583E0,-1.209968185E1,-4.124723816E1,-2.196667480E1,4.827288844E1
